,sample_name,form_datetime,Baratron_Avg,calc_%_N2_Avg,calc_%_H2_Avg,calc_%_H2_2STD,calc_%_H2_umol,calc_%_H2_umol/h,calc_%_O2_Avg,calc_%_O2_2STD,calc_%_O2_umol,calc_%_O2_umol/h,calc_%_Ar_Avg,calc_%_CO2_Avg
0,PlateAgilent 7_Vial1,2022-05-07 20:13:41,0.755701,86.88075555956883,12.112283073620542,0.5264165260802668,33.013406041889645,8.253351510472411,0.27269410205320443,0.06285823897950345,0.7432588110426264,0.1858147027606566,0.05294382357571897,0.6813234411817033
1,PlateAgilent 7_Vial2,2022-05-07 20:33:46,0.699946,93.3586232910311,5.65960196485795,0.14715708195658428,15.425889286575424,3.856472321643856,0.2224901895628852,0.054225963327416034,0.6064223337360418,0.15160558343401045,0.059041520286384805,0.7002430342616832
2,PlateAgilent 7_Vial3,2022-05-07 20:53:59,0.683206,94.99331448497142,4.044712146490745,0.10723843144340928,11.024323292565521,2.7560808231413803,0.19108616186832955,0.05035120727112742,0.5208270820952452,0.1302067705238113,0.05817276351696927,0.7127144431525292
3,PlateAgilent 7_Vial4,2022-05-07 21:14:07,0.680431,94.76320523258573,4.400586599905189,0.10920541179448012,11.994299618176175,2.9985749045440437,0.16688435935783463,0.04630639342701066,0.45486231489419554,0.11371557872354889,0.05666790576838107,0.6126559023828537
4,PlateAgilent 7_Vial5,2022-05-07 21:34:16,0.663691,95.33595043726632,3.7969422066464373,0.10357896977086715,10.348998122295233,2.5872495305738084,0.15372191580639072,0.043288972285615866,0.41898657694899744,0.10474664423724936,0.05680637457402081,0.6565790657068324
5,PlateAgilent 7_Vial6,2022-05-07 21:54:52,0.669271,95.42251121194258,3.791031602601271,0.09230189067171561,10.332888098271695,2.583222024567924,0.14249092560779436,0.04048876054938853,0.38837523493980547,0.09709380873495137,0.05405929684213517,0.5899069630062146
6,PlateAgilent 7_Vial7,2022-05-07 22:15:25,0.660886,95.38424292396897,3.741339869548258,0.09350510248643648,10.197447624313721,2.5493619060784303,0.1424637780666888,0.04104844659467035,0.38830124122680276,0.09707531030670069,0.05771693800698911,0.6742364904090816
7,PlateAgilent 7_Vial8,2022-05-07 22:36:17,0.660886,95.2796516251224,3.825608597299726,0.10199181213377988,10.427131632603754,2.6067829081509384,0.13918080973158564,0.04004131470063792,0.3793531373878599,0.09483828434696498,0.0580616362724044,0.6974973315738711
8,PlateAgilent 7_Vial9,2022-05-07 22:57:42,0.518686,93.40640743683775,5.637318116959161,0.1316585235986939,15.365152122955081,3.8412880307387702,0.15596093228098037,0.049356332500898194,0.42508927117772577,0.10627231779443144,0.05177576863847304,0.7485377452836468
9,PlateAgilent 7_Vial10,2022-05-07 23:18:06,0.613501,83.80396368904431,15.953021924490514,0.5196255527300861,43.4817769026055,10.870444225651376,0.06383701503535241,0.023512069945660446,0.17399504990551276,0.04349876247637819,0.03452658627540049,0.1446507851544197
